Aditivos,+/-
a propósito,+
adicionalmente,+
afinal de contas,+
além de,+
além disso,+
além disto,+
ao invés de,+
ao mesmo tempo,+
apesar de,+
assim,+
bem como,+
como,+
como exemplo,+
como também,+
de fato,+
de novo,+
dessa forma,+
desse modo,+
e,+
em adição,+
em geral,+
em paralelo,+
em resumo,+
em segundo lugar,+
em vez de,+
felizmente,+
finalmente,+
incidentalmente,+
incluse,+
isto é,+
na verdade,+
novamente,+
ou seja,+
pelo menos,+
por exemplo,+
por fim,+
por outro lado,+
resumindo,+
segue,+
segue que,+
similarmente,+
também,+
ainda,-
alternativamente,-
antes,-
contudo,-
em contraste,-
entretanto,-
mas,-
pelo contrário,-
porém,-
todavia,-