Causais,+/-
a fim de,+
a partir de,+
afinal de contas,+
agora que,+
assim,+
através,+
aí,+
cada vez que,+
com,+
como,+
como consequência,+
como resultado,+
condicional a,+
condicional à,+
consequentemente,+
dado que,+
daí,+
desde,+
dessa forma,+
dessa maneira,+
desse modo,+
devido a,+
devido à,+
então,+
habilita,+
logo,+
mesmo assim,+
nesse caso,+
nesse contexto,+
nesse sentido,+
neste caso,+
para,+
para esse fim,+
para isso,+
para tanto,+
pois,+
por causa,+
por conseguinte,+
por essa razão,+
por esse motivo,+
por esta razão,+
por este motivo,+
por fim,+
por isso,+
porque,+
portanto,+
propósito da,+
propósito de,+
propósito do,+
quer dizer que,+
relativo a,+
relativo à,+
se,+
sempre que,+
sendo assim,+
somente se,+
uma vez que,+
visto isso,+
é claro,+
a menos que,-
apesar de,-
apesar disso,-
apesar disto,-
contudo,-
embora,-
mesmo embora,-
no entanto,-