Lógicos,+/-
a seguir,+
além da,+
além de,+
além disso,+
além disto,+
além do,+
ao invés de,+
após,+
assim,+
bem como,+
caso,+
como,+
como consequência,+
como exemplo,+
como resultado,+
como também,+
consequentemente,+
dado que,+
de novo,+
de qualquer forma,+
de qualquer maneira,+
de qualquer modo,+
depois,+
desde que,+
devido a,+
devido à,+
em conclusão,+
em geral,+
em outras palavras,+
em paralelo,+
em resumo,+
em vez de,+
enquanto,+
então,+
felizmente,+
finalmente,+
habilita,+
isto é,+
logo,+
mesmo que,+
na realidade,+
na verdade,+
ou seja,+
para,+
para dar um exemplo,+
para este fim,+
pelo menos,+
por exemplo,+
por isso,+
por outro lado,+
porque,+
portanto,+
posteriormente,+
primeiramente,+
resumindo,+
se,+
segue que,+
sendo assim,+
similarmente,+
somente se,+
a menos que,-
ainda,-
alternativamente,-
ao acaso,-
ao menos que,-
apesar de,-
apesar disso,-
apesar disto,-
contudo,-
de outra forma,-
de outra maneira,-
de outro modo,-
em todo caso,-
embora,-
entretanto,-
exceto que,-
mesmo embora,-
nem,-
no entanto,-
ou então,-
pelo contrário,-
por outro lado